,"[0, 0]","[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 7]","[0, 8]","[1, 0]","[1, 1]","[1, 2]","[1, 3]","[1, 4]","[1, 5]","[1, 6]","[1, 7]","[1, 8]","[2, 0]","[2, 1]","[2, 2]","[2, 3]","[2, 4]","[2, 5]","[2, 6]","[2, 7]","[2, 8]","[3, 0]","[3, 1]","[3, 2]","[3, 3]","[3, 4]","[3, 5]","[3, 6]","[3, 7]","[3, 8]","[4, 0]","[4, 1]","[4, 2]","[4, 3]","[4, 4]","[4, 5]","[4, 6]","[4, 7]","[4, 8]","[5, 0]","[5, 1]","[5, 2]","[5, 3]","[5, 4]","[5, 5]","[5, 6]","[5, 7]","[5, 8]","[6, 0]","[6, 1]","[6, 2]","[6, 3]","[6, 4]","[6, 5]","[6, 6]","[6, 7]","[6, 8]","[7, 0]","[7, 1]","[7, 2]","[7, 3]","[7, 4]","[7, 5]","[7, 6]","[7, 7]","[7, 8]","[8, 0]","[8, 1]","[8, 2]","[8, 3]","[8, 4]","[8, 5]","[8, 6]","[8, 7]","[8, 8]"
0,60.0,60.0,60.0,-20.0,60.0,51.46666666666667,21.066666666666666,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,49.733333333333334,18.133333333333333,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.86666666666667,21.466666666666665,56.0,60.0,80.0,80.0,80.0,0.0,4.0,12.266666666666667,37.46666666666667,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,32.766666666666666,37.9,3.0,60.0,62.13333333333333,62.56666666666667,62.03333333333333,-3.066666666666667,28.433333333333334,36.9,30.6,27.033333333333335,49.03333333333333,69.73333333333333,70.46666666666667,69.63333333333334,-9.366666666666667,-2.1,34.1,30.05,26.566666666666666,30.666666666666668,61.0,61.0,61.0,0.0,3.0,28.866666666666667,29.233333333333334,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,47.36666666666667,27.833333333333332,30.0,60.0
1,60.0,60.0,60.0,-20.0,60.0,52.266666666666666,18.133333333333333,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.53333333333333,19.866666666666667,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.333333333333336,20.933333333333334,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.466666666666667,40.53333333333333,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,31.833333333333332,37.63333333333333,3.0,60.0,61.93333333333333,61.86666666666667,62.166666666666664,-2.8666666666666667,26.666666666666668,35.1,29.7,30.1,42.8,70.46666666666667,70.03333333333333,69.76666666666667,-10.133333333333333,-1.0333333333333334,30.2,30.55,26.833333333333332,32.4,61.0,61.0,61.0,0.0,3.0,32.1,29.666666666666668,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,40.3,29.9,30.0,60.0
2,60.0,60.0,60.0,-20.0,60.0,52.4,23.2,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.4,21.866666666666667,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.733333333333334,19.6,56.0,60.0,80.0,80.0,80.0,0.0,4.0,10.133333333333333,40.93333333333333,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,32.0,36.266666666666666,3.0,60.0,61.9,61.9,62.06666666666667,-2.533333333333333,27.0,35.9,28.433333333333334,28.9,41.53333333333333,69.2,69.53333333333333,70.1,-10.233333333333333,-1.5666666666666667,29.766666666666666,29.05,29.166666666666668,31.5,61.0,61.0,61.0,0.0,3.0,30.9,31.833333333333332,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,39.86666666666667,29.0,30.0,60.0
3,60.0,60.0,60.0,-20.0,60.0,51.2,21.2,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.733333333333334,19.466666666666665,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.666666666666664,17.733333333333334,56.0,60.0,80.0,80.0,80.0,0.0,4.0,13.866666666666667,41.6,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,32.06666666666667,39.36666666666667,3.0,60.0,62.2,62.06666666666667,61.833333333333336,-3.466666666666667,28.233333333333334,34.15,31.266666666666666,29.066666666666666,43.666666666666664,69.7,70.13333333333334,70.56666666666666,-10.4,-2.466666666666667,32.43333333333333,29.95,28.766666666666666,30.8,61.0,61.0,61.0,0.0,3.0,31.233333333333334,31.933333333333334,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,42.333333333333336,28.8,30.0,60.0
4,60.0,60.0,60.0,-20.0,60.0,52.93333333333333,17.6,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.13333333333333,19.066666666666666,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,50.4,20.0,56.0,60.0,80.0,80.0,80.0,0.0,4.0,12.266666666666667,40.53333333333333,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,33.333333333333336,38.266666666666666,3.0,60.0,61.766666666666666,61.96666666666667,62.4,-3.066666666666667,28.166666666666668,35.3,32.03333333333333,31.4,42.53333333333333,70.6,70.23333333333333,70.0,-10.133333333333333,-1.0666666666666667,33.36666666666667,29.95,27.666666666666668,31.933333333333334,61.0,61.0,61.0,0.0,3.0,34.4,29.833333333333332,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,39.86666666666667,29.266666666666666,30.0,60.0
5,60.0,60.0,60.0,-20.0,60.0,52.0,16.4,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.666666666666664,20.4,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.53333333333333,19.066666666666666,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.6,36.666666666666664,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,32.06666666666667,36.46666666666667,3.0,60.0,62.0,61.833333333333336,61.86666666666667,-2.9,26.233333333333334,32.6,32.5,27.333333333333332,42.6,70.9,69.9,70.23333333333333,-9.166666666666666,-2.3666666666666667,32.5,29.95,28.133333333333333,30.033333333333335,61.0,61.0,61.0,0.0,3.0,29.166666666666668,30.466666666666665,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,39.6,26.866666666666667,30.0,60.0
6,60.0,60.0,60.0,-20.0,60.0,52.13333333333333,17.6,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.2,16.933333333333334,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.733333333333334,21.333333333333332,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.866666666666667,41.6,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,28.666666666666668,39.766666666666666,3.0,60.0,61.96666666666667,62.2,62.06666666666667,-2.966666666666667,21.833333333333332,36.2,28.166666666666668,29.833333333333332,44.46666666666667,70.6,70.76666666666667,69.66666666666667,-10.4,-2.066666666666667,30.333333333333332,30.4,28.7,31.8,61.0,61.0,61.0,0.0,3.0,31.666666666666668,31.7,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,42.13333333333333,28.8,30.0,60.0
7,60.0,60.0,60.0,-20.0,60.0,50.13333333333333,20.666666666666668,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,50.93333333333333,19.066666666666666,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,53.6,18.666666666666668,56.0,60.0,80.0,80.0,80.0,0.0,4.0,13.333333333333334,42.0,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,31.0,40.86666666666667,3.0,60.0,62.46666666666667,62.266666666666666,61.6,-3.3333333333333335,25.5,31.8,28.633333333333333,32.63333333333333,43.233333333333334,69.83333333333333,70.23333333333333,70.33333333333333,-10.5,-1.9666666666666666,30.966666666666665,31.35,27.9,31.7,61.0,61.0,61.0,0.0,3.0,35.46666666666667,30.4,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,41.06666666666667,28.7,30.0,60.0
8,60.0,60.0,60.0,-20.0,60.0,50.266666666666666,19.866666666666667,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,50.13333333333333,19.2,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.86666666666667,19.333333333333332,56.0,60.0,80.0,80.0,80.0,0.0,4.0,12.266666666666667,41.733333333333334,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,35.666666666666664,38.0,3.0,60.0,62.43333333333333,62.46666666666667,62.03333333333333,-3.066666666666667,32.333333333333336,37.25,32.06666666666667,26.633333333333333,41.5,70.03333333333333,70.2,70.16666666666667,-10.433333333333334,-3.5,31.233333333333334,30.2,29.033333333333335,33.86666666666667,61.0,61.0,61.0,0.0,3.0,28.966666666666665,31.866666666666667,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,39.0,31.033333333333335,30.0,60.0
9,60.0,60.0,60.0,-20.0,60.0,51.333333333333336,17.466666666666665,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.4,21.733333333333334,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,50.8,21.066666666666666,56.0,60.0,80.0,80.0,80.0,0.0,4.0,10.133333333333333,38.53333333333333,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,30.533333333333335,39.56666666666667,3.0,60.0,62.166666666666664,61.9,62.3,-2.533333333333333,27.366666666666667,34.35,28.433333333333334,28.833333333333332,42.833333333333336,70.63333333333334,69.56666666666666,69.73333333333333,-9.633333333333333,-0.7666666666666667,31.266666666666666,30.15,27.833333333333332,32.766666666666666,61.0,61.0,61.0,0.0,3.0,31.166666666666668,31.166666666666668,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,40.166666666666664,30.433333333333334,30.0,60.0
